gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,ENTREZID
FSCN1,1.36E-230,0.804078602,0.931,0.574,3.05E-226,IM,6624
THY1,3.09E-225,0.473693156,0.545,0.088,6.92E-221,IM,7070
PTMS,1.93E-224,0.938156513,0.922,0.738,4.33E-220,IM,5763
HSPD1,5.31E-219,0.828573914,0.968,0.878,1.19E-214,IM,3329
DDIT4,7.25E-219,0.35762517,0.485,0.066,1.62E-214,IM,54541
KCNH2,6.33E-218,0.426050942,0.718,0.182,1.42E-213,IM,3757
CCDC80,2.72E-217,0.525926494,0.659,0.151,6.09E-213,IM,151887
IFITM3,6.66E-215,0.969285831,0.962,0.887,1.49E-210,IM,10410
ADGRA2,1.26E-213,0.272361242,0.505,0.074,2.83E-209,IM,25960
CFAP298,1.57E-213,0.632272797,0.866,0.389,3.52E-209,IM,56683
MARCKSL1,1.06E-66,0.294516325,0.958,0.707,2.37E-62,MPP-pre-MC,65108
MARCKSL1,4.20E-211,0.830575796,0.944,0.712,9.39E-207,IM,65108
CRABP2,1.89E-210,0.516887552,0.533,0.091,4.22E-206,IM,1382
TEAD4,6.89E-209,0.339007352,0.684,0.177,1.54E-204,IM,7004
FGFBP3,9.05E-207,0.644254058,0.69,0.198,2.02E-202,IM,143282
CEMIP2,5.75E-206,0.258608949,0.512,0.078,1.29E-201,IM,23670
PRNP,9.88E-204,0.342302817,0.642,0.14,2.21E-199,IM,5621
RBPMS,2.80E-203,0.391937547,0.744,0.218,6.26E-199,IM,11030
S100A16,6.18E-203,0.473358096,0.589,0.12,1.38E-198,IM,140576
S100A13,7.14E-202,0.729004143,0.893,0.529,1.60E-197,IM,6284
GSTA1,6.08E-199,0.378839536,0.554,0.098,1.36E-194,IM,2938
PNO1,1.19E-198,0.684091956,0.853,0.419,2.66E-194,IM,56902
SOST,1.62E-198,0.258085628,0.263,0.01,3.63E-194,IM,50964
CCT5,2.02E-198,0.805776553,0.95,0.783,4.51E-194,IM,22948
RBM8A,4.21E-198,0.686953384,0.935,0.865,9.42E-194,IM,9939
AGTRAP,1.23E-197,0.406165727,0.762,0.242,2.74E-193,IM,57085
ID1,4.73E-197,0.953869084,0.805,0.303,1.06E-192,IM,3397
CNN3,8.03E-196,0.646673479,0.869,0.447,1.80E-191,IM,1266
CD99,2.43E-193,0.735190866,0.922,0.783,5.45E-189,IM,4267
SSB,1.81E-192,0.775084518,0.946,0.858,4.04E-188,IM,6741
NECTIN2,6.74E-192,0.602764788,0.866,0.469,1.51E-187,IM,5819
GYPE,9.13E-190,0.895551589,0.83,0.378,2.04E-185,IM,2996
SNRPF,2.30E-189,0.619666233,0.962,0.927,5.14E-185,IM,6636
S100A10,1.97E-188,0.779160373,0.937,0.783,4.40E-184,IM,6281
CENPV,3.76E-188,0.733289344,0.875,0.523,8.41E-184,IM,201161
PFDN2,4.09E-188,0.678858679,0.944,0.869,9.15E-184,IM,5202
FBN2,9.87E-188,0.266571312,0.498,0.085,2.21E-183,IM,2201
CCT4,2.26E-187,0.695152171,0.938,0.84,5.06E-183,IM,10575
DPPA4,1.34E-186,0.32701229,0.655,0.165,3.00E-182,IM,55211
PKDCC,1.96E-186,0.392243452,0.608,0.14,4.40E-182,IM,91461
ATP1B3,6.62E-185,0.718870163,0.925,0.761,1.48E-180,IM,483
TRAP1,1.87E-181,0.591417504,0.866,0.501,4.18E-177,IM,10131
CD320,5.40E-181,0.569674184,0.865,0.423,1.21E-176,IM,51293
FBL,1.43E-180,0.624800646,0.935,0.815,3.21E-176,IM,2091
TMEM98,8.87E-180,0.615266228,0.878,0.523,1.99E-175,IM,26022
GLO1,1.18E-179,0.734397871,0.905,0.695,2.65E-175,IM,2739
CRIP2,7.95E-179,0.285962821,0.505,0.093,1.78E-174,IM,1397
RCN1,8.82E-179,0.550207769,0.827,0.368,1.97E-174,IM,5954
FREM1,2.32E-178,0.266359588,0.48,0.08,5.19E-174,IM,158326
COL6A2,4.63E-177,0.361962486,0.712,0.211,1.04E-172,IM,1292
RAC3,8.66E-177,0.655007508,0.922,0.74,1.94E-172,IM,5881
SERBP1,1.25E-176,0.543249076,0.954,0.922,2.80E-172,IM,26135
CBLB,6.50E-176,0.473500018,0.615,0.161,1.45E-171,IM,868
EHD2,7.53E-176,0.27207199,0.561,0.119,1.69E-171,IM,30846
FUS,1.19E-175,0.700376448,0.949,0.853,2.66E-171,IM,2521
MAD2L2,2.10E-175,0.535596174,0.828,0.39,4.70E-171,IM,10459
FKBP10,4.58E-175,0.540437558,0.88,0.495,1.02E-170,IM,60681
PPDPF,4.72E-175,0.651040401,0.934,0.862,1.06E-170,IM,79144
CAPN2,6.02E-175,0.339057484,0.659,0.186,1.35E-170,IM,824
PAPSS1,1.12E-174,0.722118984,0.905,0.579,2.52E-170,IM,9061
PRKAB1,1.50E-174,0.360624912,0.733,0.251,3.35E-170,IM,5564
PA2G4,2.02E-174,0.684394875,0.953,0.872,4.53E-170,IM,5036
SNCG,1.68E-171,0.316369069,0.628,0.159,3.76E-167,IM,6623
CKB,2.65E-171,0.791799305,0.934,0.781,5.93E-167,IM,1152
LDHA,9.02E-42,0.259497429,0.981,0.872,2.02E-37,Myeloid,3939
LDHA,4.99E-170,0.807652246,0.971,0.87,1.12E-165,IM,3939
CD79B,1.48E-168,0.258975215,0.573,0.13,3.31E-164,IM,974
JPT1,2.19E-168,0.662712889,0.946,0.883,4.89E-164,IM,51155
VIM,1.72E-167,0.882727976,0.953,0.884,3.85E-163,IM,7431
NCL,1.91E-167,0.730399041,0.984,0.922,4.28E-163,IM,4691
EIF5A,3.62E-167,0.568889829,0.957,0.949,8.11E-163,IM,1984
TP53I11,1.37E-166,0.290364712,0.551,0.121,3.06E-162,IM,9537
HNRNPM,2.30E-166,0.676608941,0.949,0.845,5.15E-162,IM,4670
CCT7,3.11E-165,0.637894016,0.928,0.799,6.95E-161,IM,10574
PLS3,3.54E-165,0.274599375,0.521,0.108,7.93E-161,IM,5358
AGAP1,5.37E-164,0.395369434,0.686,0.209,1.20E-159,IM,116987
TSPAN6,1.75E-163,0.266559215,0.64,0.175,3.92E-159,IM,7105
PLIN2,8.64E-163,0.478690235,0.831,0.394,1.93E-158,IM,123
UBB,1.02E-162,0.573273419,0.969,0.985,2.28E-158,IM,7314
RUVBL2,4.44E-161,0.535919346,0.859,0.518,9.94E-157,IM,10856
FLT1,8.86E-161,0.350935265,0.606,0.164,1.98E-156,IM,2321
TRIM71,6.99E-160,0.384277523,0.586,0.15,1.56E-155,IM,131405
NME1,1.80E-159,0.578189953,0.944,0.898,4.02E-155,IM,4830
PCDH17,7.99E-159,0.298106354,0.405,0.062,1.79E-154,IM,27253
CALM1,1.22E-158,0.590559409,0.956,0.921,2.74E-154,IM,801
PLEC,4.91E-157,0.353695043,0.598,0.159,1.10E-152,IM,5339
NASP,5.45E-157,0.808845583,0.949,0.776,1.22E-152,IM,4678
STX3,1.54E-156,0.345845214,0.646,0.195,3.44E-152,IM,6809
CDC37,5.92E-156,0.571888253,0.915,0.755,1.33E-151,IM,11140
ARL2,1.75E-155,0.593037147,0.905,0.767,3.91E-151,IM,402
STRA6,2.10E-155,0.250837999,0.512,0.11,4.71E-151,IM,64220
TRIM28,2.83E-155,0.633816717,0.93,0.827,6.33E-151,IM,10155
MRPL52,3.22E-155,0.567497315,0.921,0.806,7.20E-151,IM,122704
RAN,1.05E-154,0.501865006,0.974,0.96,2.35E-150,IM,5901
HDAC2,1.38E-154,0.597570511,0.935,0.791,3.08E-150,IM,3066
PSMB1,2.19E-154,0.511633795,0.946,0.927,4.90E-150,IM,5689
BOP1,4.71E-154,0.454533781,0.816,0.394,1.05E-149,IM,23246
DDAH2,8.68E-37,0.295677387,0.864,0.799,1.94E-32,HE,23564
DDAH2,5.16E-153,0.635807966,0.931,0.79,1.16E-148,IM,23564
CCT8,9.72E-153,0.642874156,0.934,0.841,2.18E-148,IM,10694
RCN2,1.35E-152,0.552474753,0.877,0.563,3.03E-148,IM,5955
PHB,5.80E-152,0.554889863,0.93,0.83,1.30E-147,IM,5245
PHB,1.15E-59,0.32897634,0.957,0.83,2.58E-55,Myeloid,5245
HNRNPA2B1,9.75E-152,0.499500194,0.984,0.966,2.18E-147,IM,3181
TPM2,1.11E-151,0.572520875,0.938,0.825,2.48E-147,IM,7169
HNRNPDL,1.17E-151,0.610425463,0.957,0.889,2.63E-147,IM,9987
EIF6,7.04E-151,0.527419067,0.913,0.767,1.58E-146,IM,3692
PLK2,3.02E-150,0.299827639,0.467,0.094,6.77E-146,IM,10769
NT5DC2,3.48E-150,0.552836403,0.891,0.599,7.80E-146,IM,64943
JAM3,4.59E-149,0.30244428,0.614,0.171,1.03E-144,IM,83700
EGFL7,1.12E-148,0.773348384,0.949,0.803,2.51E-144,IM,51162
EGFL7,3.49E-52,0.266193907,0.951,0.801,7.82E-48,MPP-pre-MC,51162
LAPTM4B,1.28E-148,0.583229958,0.919,0.814,2.86E-144,IM,55353
HNRNPA3,1.13E-147,0.596324957,0.965,0.876,2.52E-143,IM,220988
HSP90AA1,8.38E-147,0.627443766,0.993,0.98,1.87E-142,IM,3320
CCT6A,9.96E-147,0.577978986,0.947,0.852,2.23E-142,IM,908
GAL,2.80E-146,0.34759588,0.586,0.16,6.27E-142,IM,51083
GAL,3.42E-95,0.347770176,0.552,0.178,7.66E-91,Myeloid,51083
FERMT2,5.59E-146,0.417123784,0.758,0.299,1.25E-141,IM,10979
TXNDC17,5.89E-145,0.538102141,0.931,0.862,1.32E-140,IM,84817
PAICS,1.38E-144,0.568529745,0.921,0.69,3.09E-140,IM,10606
HAND1,1.65E-144,0.522517995,0.63,0.202,3.69E-140,IM,9421
GATA2,5.40E-144,0.640936197,0.905,0.532,1.21E-139,IM,2624
GATA2,1.47E-66,0.485284859,0.765,0.547,3.30E-62,HE,2624
CCT3,7.90E-144,0.529774343,0.94,0.846,1.77E-139,IM,7203
HOXB2,1.21E-143,0.3476062,0.706,0.253,2.71E-139,IM,3212
RABGGTB,3.91E-143,0.499202327,0.844,0.487,8.76E-139,IM,5876
HDAC7,9.03E-143,0.373582688,0.753,0.294,2.02E-138,IM,51564
HNRNPK,1.32E-142,0.496668046,0.975,0.936,2.95E-138,IM,3190
PHGDH,3.48E-142,0.287027239,0.542,0.138,7.79E-138,IM,26227
ODC1,2.73E-56,0.387142098,0.919,0.712,6.12E-52,Myeloid,4953
ODC1,5.77E-141,0.611641531,0.909,0.706,1.29E-136,IM,4953
HOXB5,8.14E-141,0.354114781,0.68,0.24,1.82E-136,IM,3215
PLXND1,6.64E-139,0.452912901,0.752,0.319,1.49E-134,IM,23129
ILF2,4.34E-138,0.587530009,0.909,0.817,9.70E-134,IM,3608
RPL36A,8.14E-138,0.339902057,0.985,0.987,1.82E-133,IM,6173
VDAC1,8.25E-138,0.542358537,0.938,0.806,1.85E-133,IM,7416
HSPE1,3.20E-137,0.578953055,0.974,0.942,7.15E-133,IM,3336
HSPE1,8.86E-41,0.308743759,0.979,0.943,1.98E-36,Myeloid,3336
PGAM1,1.82E-64,0.328737433,0.981,0.908,4.08E-60,Myeloid,5223
PGAM1,1.09E-136,0.561608133,0.963,0.908,2.44E-132,IM,5223
TFPI,1.37E-136,0.663671421,0.83,0.427,3.07E-132,IM,7035
HNRNPH3,1.04E-135,0.531626238,0.922,0.759,2.32E-131,IM,3189
SSBP1,7.96E-135,0.494244601,0.935,0.907,1.78E-130,IM,6742
ID3,1.17E-134,0.621675701,0.743,0.332,2.61E-130,IM,3399
FKBP4,2.61E-134,0.521351382,0.885,0.573,5.84E-130,IM,2288
FKBP4,6.98E-39,0.273962399,0.826,0.59,1.56E-34,Myeloid,2288
TUBA1A,8.49E-54,0.40310304,0.814,0.64,1.90E-49,EMP-pre-MC,7846
TUBA1A,3.71E-134,0.577209636,0.916,0.636,8.29E-130,IM,7846
PPP2R1A,1.77E-133,0.475126831,0.885,0.65,3.97E-129,IM,5518
SORD,2.24E-133,0.331812456,0.69,0.255,5.01E-129,IM,6652
GCSH,4.27E-133,0.536187263,0.899,0.662,9.55E-129,IM,2653
PSMB6,6.88E-132,0.517045061,0.925,0.89,1.54E-127,IM,5694
HNRNPD,1.77E-131,0.579222911,0.935,0.846,3.95E-127,IM,3184
PYCR1,7.64E-131,0.438544551,0.85,0.522,1.71E-126,IM,5831
TUBB6,8.01E-131,0.514613252,0.764,0.368,1.79E-126,IM,84617
ENAH,4.54E-130,0.357230919,0.722,0.279,1.02E-125,IM,55740
ACVR2B,1.28E-129,0.360109346,0.627,0.212,2.86E-125,IM,93
EIF2S2,6.87E-129,0.476128884,0.938,0.9,1.54E-124,IM,8894
MICAL2,7.12E-129,0.255048218,0.552,0.149,1.59E-124,IM,9645
SAE1,8.83E-129,0.472175481,0.847,0.502,1.98E-124,IM,10055
EBNA1BP2,7.78E-48,0.276326586,0.868,0.621,1.74E-43,Myeloid,10969
EBNA1BP2,1.54E-128,0.551038775,0.89,0.609,3.45E-124,IM,10969
NUDC,2.95E-127,0.516922966,0.928,0.805,6.59E-123,IM,10726
SCD,6.62E-127,0.57409514,0.902,0.664,1.48E-122,IM,6319
XRCC6,2.67E-126,0.530616219,0.927,0.777,5.99E-122,IM,2547
CTSB,3.37E-126,0.383539766,0.777,0.391,7.53E-122,IM,1508
CMSS1,5.51E-125,0.473020059,0.852,0.537,1.23E-120,IM,84319
RANBP1,8.64E-45,0.3069472,0.975,0.919,1.93E-40,Myeloid,5902
RANBP1,1.89E-124,0.521225943,0.947,0.922,4.22E-120,IM,5902
NR2F6,2.19E-124,0.45363808,0.871,0.595,4.90E-120,IM,2063
BUD23,3.85E-124,0.43741114,0.853,0.522,8.62E-120,IM,114049
GLRX3,7.29E-124,0.46108757,0.875,0.628,1.63E-119,IM,10539
ASH2L,7.30E-124,0.410235899,0.828,0.463,1.63E-119,IM,9070
TCF4,1.06E-123,0.560305829,0.767,0.398,2.38E-119,IM,6925
GNL3,2.36E-123,0.501631915,0.85,0.514,5.29E-119,IM,26354
EIF4A3,3.04E-123,0.409535197,0.83,0.469,6.79E-119,IM,9775
YWHAE,3.82E-123,0.436019291,0.956,0.944,8.56E-119,IM,7531
MYC,6.17E-123,0.562825736,0.837,0.441,1.38E-118,IM,4609
MYC,3.34E-31,0.333747272,0.694,0.471,7.48E-27,Myeloid,4609
TMSB10,7.83E-123,0.478040294,0.997,0.998,1.75E-118,IM,9168
ATP5F1B,1.09E-122,0.460324832,0.963,0.939,2.44E-118,IM,506
SERPINE2,7.53E-122,0.252051879,0.604,0.186,1.69E-117,IM,5270
B4GALT2,1.02E-121,0.283983534,0.573,0.181,2.29E-117,IM,8704
PSMB7,1.24E-121,0.440817122,0.924,0.889,2.77E-117,IM,5695
MGST1,1.20E-69,0.370790572,0.824,0.516,2.69E-65,Myeloid,4257
MGST1,1.58E-121,0.503390664,0.856,0.5,3.53E-117,IM,4257
CCDC86,2.93E-121,0.350188294,0.747,0.343,6.57E-117,IM,79080
EXOSC7,2.63E-120,0.361032735,0.734,0.332,5.90E-116,IM,23016
SNU13,5.82E-120,0.406125236,0.941,0.927,1.30E-115,IM,4809
TIMP1,1.44E-46,0.328292644,0.979,0.892,3.22E-42,EMP-pre-MC,7076
TIMP1,7.72E-120,0.506436193,0.938,0.904,1.73E-115,IM,7076
NDUFC2,2.88E-119,0.481470027,0.934,0.888,6.44E-115,IM,4718
DYNC1LI1,3.02E-119,0.434144524,0.809,0.464,6.75E-115,IM,51143
ATP2B1,1.43E-118,0.473506688,0.794,0.415,3.19E-114,IM,490
EIF3B,1.48E-118,0.521711144,0.893,0.592,3.32E-114,IM,8662
TRMT112,2.98E-118,0.416691601,0.941,0.92,6.66E-114,IM,51504
RRP9,3.43E-118,0.333623888,0.717,0.313,7.67E-114,IM,9136
EEF1D,3.59E-118,0.359938815,0.946,0.947,8.03E-114,IM,1936
RUVBL1,4.60E-118,0.440038953,0.849,0.532,1.03E-113,IM,8607
PARK7,2.53E-117,0.356128861,0.943,0.956,5.66E-113,IM,11315
BOD1,9.85E-117,0.392203962,0.759,0.375,2.20E-112,IM,91272
PVT1,1.11E-116,0.256641198,0.564,0.178,2.49E-112,IM,5820
SNRPB2,1.78E-116,0.472464639,0.94,0.865,3.99E-112,IM,6629
PFDN4,2.65E-116,0.442989387,0.899,0.766,5.93E-112,IM,5203
C1QBP,2.96E-116,0.436438346,0.947,0.919,6.63E-112,IM,708
HSP90B1,3.21E-116,0.624369695,0.944,0.84,7.17E-112,IM,7184
HSP90B1,3.89E-43,0.352421174,0.943,0.844,8.69E-39,Myeloid,7184
PBDC1,7.25E-116,0.333252757,0.781,0.4,1.62E-111,IM,51260
MPZL1,2.55E-115,0.257922386,0.576,0.182,5.71E-111,IM,9019
MEX3A,2.30E-114,0.326203024,0.665,0.251,5.15E-110,IM,92312
PSMC4,7.12E-114,0.418961639,0.852,0.561,1.59E-109,IM,5704
CALM2,1.07E-113,0.444901659,0.966,0.959,2.39E-109,IM,805
POMP,1.24E-113,0.391858557,0.965,0.952,2.78E-109,IM,51371
CDC34,1.78E-113,0.411729953,0.836,0.554,3.99E-109,IM,997
ERH,2.02E-113,0.396229824,0.952,0.938,4.53E-109,IM,2079
NOC2L,2.53E-112,0.415735191,0.818,0.462,5.67E-108,IM,26155
RPL38,3.50E-113,0.264197172,0.996,0.99,7.84E-109,MPP-pre-MC,6169
RPL38,2.59E-112,0.323576297,0.994,0.99,5.80E-108,IM,6169
ADSL,9.62E-112,0.444005133,0.824,0.542,2.15E-107,IM,158
ATIC,1.21E-111,0.408329688,0.8,0.431,2.71E-107,IM,471
FAM89A,3.74E-111,0.255471842,0.58,0.19,8.38E-107,IM,375061
TUBB,4.22E-111,0.453162162,0.975,0.971,9.44E-107,IM,203068
P4HB,5.26E-111,0.436739343,0.949,0.886,1.18E-106,IM,5034
P4HB,3.65E-50,0.38717428,0.951,0.888,8.18E-46,Myeloid,5034
TAF1D,2.69E-110,0.542418639,0.9,0.719,6.02E-106,IM,79101
METAP2,3.40E-110,0.462549409,0.927,0.818,7.61E-106,IM,10988
ARF4,2.11E-109,0.468717178,0.91,0.731,4.72E-105,IM,378
HNRNPC,2.66E-109,0.350412807,0.957,0.954,5.94E-105,IM,3183
POLR2F,6.30E-109,0.419697823,0.924,0.86,1.41E-104,IM,5435
CCT2,1.03E-108,0.449516723,0.937,0.874,2.30E-104,IM,10576
MTHFD1L,7.25E-108,0.29551479,0.722,0.32,1.62E-103,IM,25902
ESYT1,2.19E-107,0.38977922,0.787,0.422,4.91E-103,IM,23344
CNBP,1.27E-106,0.458324195,0.918,0.824,2.85E-102,IM,7555
CD151,2.42E-106,0.329233812,0.733,0.357,5.41E-102,IM,977
MARCKS,8.87E-106,0.473016184,0.856,0.556,1.99E-101,IM,4082
EXOSC8,3.25E-105,0.437136985,0.834,0.519,7.26E-101,IM,11340
ECE1,3.41E-105,0.282159972,0.703,0.282,7.63E-101,IM,1889
SNRPE,8.04E-105,0.367318985,0.957,0.947,1.80E-100,IM,6635
STIP1,1.37E-104,0.4578942,0.894,0.67,3.08E-100,IM,10963
AFDN,1.64E-104,0.37997844,0.796,0.435,3.66E-100,IM,4301
SEM1,2.61E-104,0.368377347,0.935,0.934,5.83E-100,IM,7979
EIF4EBP1,2.81E-42,0.295968435,0.941,0.821,6.28E-38,Myeloid,1978
EIF4EBP1,2.97E-104,0.453672993,0.928,0.819,6.64E-100,IM,1978
PSMC3,8.40E-104,0.435392358,0.907,0.72,1.88E-99,IM,5702
RDX,1.01E-103,0.514305219,0.906,0.765,2.27E-99,IM,5962
RPL35,1.33E-110,0.285306459,1,0.995,2.98E-106,Myeloid,11224
RPL35,1.70E-103,0.277524404,0.999,0.995,3.81E-99,IM,11224
PSMB2,2.24E-103,0.398756,0.924,0.85,5.02E-99,IM,5690
GRPEL1,3.43E-103,0.359243325,0.802,0.489,7.68E-99,IM,80273
STMN1,4.25E-103,0.470244579,0.963,0.916,9.52E-99,IM,3925
KDELR1,1.07E-102,0.41183262,0.872,0.661,2.39E-98,IM,10945
PSMB3,7.12E-102,0.40410032,0.924,0.902,1.59E-97,IM,5691
BRIX1,7.87E-102,0.401745709,0.802,0.46,1.76E-97,IM,55299
PDCD5,6.34E-80,0.406945898,0.96,0.836,1.42E-75,Myeloid,9141
PDCD5,9.33E-102,0.469264083,0.937,0.836,2.09E-97,IM,9141
PSMB5,2.16E-101,0.368779671,0.93,0.921,4.84E-97,IM,5693
MAGED2,3.24E-101,0.470036872,0.906,0.761,7.25E-97,IM,10916
PELP1,5.70E-101,0.372274829,0.705,0.325,1.28E-96,IM,27043
TIMM50,2.24E-100,0.375969197,0.836,0.558,5.01E-96,IM,92609
PPIB,2.34E-100,0.396836999,0.95,0.923,5.23E-96,IM,5479
IFITM2,3.60E-100,0.410229978,0.932,0.894,8.06E-96,IM,10581
IFITM2,1.71E-29,0.324608357,0.934,0.893,3.82E-25,HE,10581
