"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"22","EMP","EMP","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","7/119","102/18670",4.00691898091734e-06,0.000401420428815537,0.000343943189079699,"1163/896/1033/1164/10614/890/1032",7
"23","EMP","EMP","GO:0009200","deoxyribonucleoside triphosphate metabolic process","4/119","18/18670",4.48071112342832e-06,0.000429369013740696,0.000367889965923588,"1854/7298/1841/4521",4
"24","EMP","EMP","GO:1904029","regulation of cyclin-dependent protein kinase activity","7/119","106/18670",5.1780011858239e-06,0.000456551762409973,0.000391180562500474,"1163/896/1033/1164/10614/890/1032",7
"25","EMP","EMP","GO:1901990","regulation of mitotic cell cycle phase transition","13/119","444/18670",5.17867244112946e-06,0.000456551762409973,0.000391180562500474,"10383/5111/1063/11065/896/5577/983/81853/7277/1032/3161/22974/6790",13
"26","EMP","EMP","GO:0048285","organelle fission","13/119","449/18670",5.84430432679222e-06,0.000495417182163464,0.000424481051103856,"9232/1063/11065/200942/51203/1164/11130/4288/10051/7153/22974/6790/4599",13
"27","EMP","EMP","GO:0140014","mitotic nuclear division","10/119","264/18670",7.41677733382855e-06,0.000605428786805857,0.000518740683699354,"9232/1063/11065/200942/51203/11130/4288/10051/22974/6790",10
"28","EMP","EMP","GO:0007596","blood coagulation","11/119","336/18670",1.01773259763461e-05,0.000801100944709528,0.000686395594043792,"3045/3048/3046/3047/5341/2623/2039/83706/5577/2815/1281",11
"29","EMP","EMP","GO:0000280","nuclear division","12/119","407/18670",1.13741298728359e-05,0.00080226150330772,0.000687389978476478,"9232/1063/11065/200942/51203/1164/11130/4288/10051/7153/22974/6790",12
"30","EMP","EMP","GO:0007599","hemostasis","11/119","341/18670",1.16866030653627e-05,0.00080226150330772,0.000687389978476478,"3045/3048/3046/3047/5341/2623/2039/83706/5577/2815/1281",11
"31","EMP","EMP","GO:1901987","regulation of cell cycle phase transition","13/119","480/18670",1.19356732529501e-05,0.00080226150330772,0.000687389978476478,"10383/5111/1063/11065/896/5577/983/81853/7277/1032/3161/22974/6790",13
"32","EMP","EMP","GO:0050817","coagulation","11/119","342/18670",1.20107801543007e-05,0.00080226150330772,0.000687389978476478,"3045/3048/3046/3047/5341/2623/2039/83706/5577/2815/1281",11
"33","EMP","EMP","GO:0000082","G1/S transition of mitotic cell cycle","10/119","279/18670",1.2012082399798e-05,0.00080226150330772,0.000687389978476478,"5111/896/6241/1033/7298/983/81853/51053/1032/6790",10
"34","EMP","EMP","GO:0019079","viral genome replication","7/119","122/18670",1.3087342876495e-05,0.000848367755876323,0.000726894523852384,"5886/7913/27350/7153/3429/9636/4599",7
"35","EMP","EMP","GO:0002576","platelet degranulation","7/119","128/18670",1.7897061506503e-05,0.00112700353029522,0.000965633935117784,"8407/5341/2039/7114/83706/7277/7078",7
"36","EMP","EMP","GO:0000086","G2/M transition of mitotic cell cycle","9/119","247/18670",2.93169824908368e-05,0.00179485081693901,0.00153785574820354,"10383/1063/5577/983/890/7277/3161/22974/6790",9
"37","EMP","EMP","GO:0045069","regulation of viral genome replication","6/119","95/18670",3.23374608732963e-05,0.00191075596630678,0.00163716506044243,"5886/27350/7153/3429/9636/4599",6
"38","EMP","EMP","GO:0015949","nucleobase-containing small molecule interconversion","4/119","29/18670",3.29440683845997e-05,0.00191075596630678,0.00163716506044243,"6241/1854/7298/1841",4
"39","EMP","EMP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","8/119","196/18670",3.70897768467572e-05,0.00209604790180135,0.00179592603679035,"10383/1063/5577/983/7277/3161/22974/6790",8
"40","EMP","EMP","GO:0009394","2'-deoxyribonucleotide metabolic process","4/119","31/18670",4.32164939670364e-05,0.00226783696912734,0.00194311754829231,"1854/7298/1841/4521",4
"41","EMP","EMP","GO:0042168","heme metabolic process","4/119","31/18670",4.32164939670364e-05,0.00226783696912734,0.00194311754829231,"51522/645/212/7389",4
"42","EMP","EMP","GO:0045648","positive regulation of erythrocyte differentiation","4/119","31/18670",4.32164939670364e-05,0.00226783696912734,0.00194311754829231,"3148/2623/116151/9636",4
"43","EMP","EMP","GO:0007229","integrin-mediated signaling pathway","6/119","103/18670",5.10453828863276e-05,0.00255204618639788,0.00218663237099904,"5341/2039/83706/961/1281/9636",6
"44","EMP","EMP","GO:0044839","cell cycle G2/M phase transition","9/119","266/18670",5.21970764131407e-05,0.00255204618639788,0.00218663237099904,"10383/1063/5577/983/890/7277/3161/22974/6790",9
"45","EMP","EMP","GO:0009265","2'-deoxyribonucleotide biosynthetic process","3/119","12/18670",5.32641218576689e-05,0.00255204618639788,0.00218663237099904,"1854/7298/1841",3
"46","EMP","EMP","GO:0046385","deoxyribose phosphate biosynthetic process","3/119","12/18670",5.32641218576689e-05,0.00255204618639788,0.00218663237099904,"1854/7298/1841",3
"47","EMP","EMP","GO:0019692","deoxyribose phosphate metabolic process","4/119","33/18670",5.56525841385222e-05,0.00255538115502715,0.00218948982334449,"1854/7298/1841/4521",4
"48","EMP","EMP","GO:0048821","erythrocyte development","4/119","33/18670",5.56525841385222e-05,0.00255538115502715,0.00218948982334449,"3050/2623/2039/116151",4
"49","EMP","EMP","GO:1902749","regulation of cell cycle G2/M phase transition","8/119","213/18670",6.67386612839776e-05,0.0030018777442834,0.00257205495904309,"10383/1063/5577/983/7277/3161/22974/6790",8
"50","EMP","EMP","GO:0006778","porphyrin-containing compound metabolic process","4/119","38/18670",9.79536225251846e-05,0.00431779568091014,0.00369955365916171,"51522/645/212/7389",4
"51","EMP","EMP","GO:0031100","animal organ regeneration","5/119","73/18670",0.000102753151152815,0.00444054794393735,0.00380472968355316,"5111/7298/983/890/6790",5
"52","EMP","EMP","GO:0006979","response to oxidative stress","11/119","451/18670",0.000146585386200603,0.00621296521511787,0.0053233640251798,"5111/3039/3040/6622/9124/9588/983/7168/27429/890/4521",11
"53","EMP","EMP","GO:0043462","regulation of ATPase activity","5/119","80/18670",0.000158728740272307,0.00656485432095873,0.00562486801595184,"4635/7114/7168/7137/23234",5
"54","EMP","EMP","GO:0006266","DNA ligation","3/119","17/18670",0.000160844888081566,0.00656485432095873,0.00562486801595184,"3146/3148/7153",3
"55","EMP","EMP","GO:0007059","chromosome segregation","9/119","321/18670",0.000216750080824545,0.00868576687522357,0.00744209846888485,"9232/1063/200942/51203/11130/4288/10051/348235/7153",9
"56","EMP","EMP","GO:0030261","chromosome condensation","4/119","47/18670",0.000226462230659879,0.00875653958551533,0.00750273761410569,"51203/983/10051/7153",4
"57","EMP","EMP","GO:0045646","regulation of erythrocyte differentiation","4/119","47/18670",0.000226462230659879,0.00875653958551533,0.00750273761410569,"3148/2623/116151/9636",4
"58","EMP","EMP","GO:0019058","viral life cycle","9/119","328/18670",0.000254237540705054,0.00966102654679204,0.00827771593511554,"2993/983/5886/7913/27350/7153/3429/9636/4599",9
"59","EMP","EMP","GO:0009219","pyrimidine deoxyribonucleotide metabolic process","3/119","20/18670",0.000265914272100726,0.00993347552050846,0.00851115440051207,"1854/7298/1841",3
"60","EMP","EMP","GO:0000731","DNA synthesis involved in DNA repair","4/119","51/18670",0.000311123830961615,0.0114286153906567,0.00979221320605505,"5111/9768/1032/9636",4
"61","EMP","EMP","GO:0030099","myeloid cell differentiation","10/119","416/18670",0.000332335835319777,0.0118846647688969,0.0101829633180824,"10661/51522/3148/212/3050/2623/2039/4208/116151/9636",10
"62","EMP","EMP","GO:0060337","type I interferon signaling pathway","5/119","95/18670",0.000354614517320982,0.0118846647688969,0.0101829633180824,"1958/2537/3429/9636/4599",5
"63","EMP","EMP","GO:0071357","cellular response to type I interferon","5/119","95/18670",0.000354614517320982,0.0118846647688969,0.0101829633180824,"1958/2537/3429/9636/4599",5
"64","EMP","EMP","GO:0006783","heme biosynthetic process","3/119","22/18670",0.000355892865130306,0.0118846647688969,0.0101829633180824,"51522/212/7389",3
"65","EMP","EMP","GO:0010155","regulation of proton transport","3/119","22/18670",0.000355892865130306,0.0118846647688969,0.0101829633180824,"7114/10063/64924",3
"66","EMP","EMP","GO:0032069","regulation of nuclease activity","3/119","22/18670",0.000355892865130306,0.0118846647688969,0.0101829633180824,"3146/3148/5111",3
"67","EMP","EMP","GO:0006260","DNA replication","8/119","274/18670",0.000373930233866285,0.0123006303797208,0.0105393690425156,"5111/6241/9768/1854/983/51053/890/27101",8
"68","EMP","EMP","GO:1903900","regulation of viral life cycle","6/119","149/18670",0.000386466108023408,0.0125260485600528,0.0107325108017646,"5886/27350/7153/3429/9636/4599",6
"69","EMP","EMP","GO:0006323","DNA packaging","7/119","210/18670",0.000398386052100836,0.0127252588236267,0.0109031972153913,"3148/51203/10541/983/10051/55723/7153",7
"70","EMP","EMP","GO:0009147","pyrimidine nucleoside triphosphate metabolic process","3/119","23/18670",0.000407379195969338,0.0128266249702346,0.0109900492867518,"1854/7298/1841",3
"71","EMP","EMP","GO:0032781","positive regulation of ATPase activity","4/119","55/18670",0.000416368928641207,0.0129250298412003,0.0110743640916579,"4635/7114/7168/23234",4
"72","EMP","EMP","GO:0034340","response to type I interferon","5/119","99/18670",0.000428987631057523,0.0131317880395942,0.0112515176917719,"1958/2537/3429/9636/4599",5
"73","EMP","EMP","GO:0030168","platelet activation","6/119","153/18670",0.000445009236008854,0.0134356213173084,0.0115118467108851,"5341/2623/2039/83706/2815/1281",6
"74","EMP","EMP","GO:0010038","response to metal ion","9/119","364/18670",0.000542429929156,0.0160113799967476,0.0137187963101372,"5111/6622/2039/983/4208/27101/1841/64924/4521",9
"75","EMP","EMP","GO:0070527","platelet aggregation","4/119","59/18670",0.000544851860143409,0.0160113799967476,0.0137187963101372,"5341/2623/2039/83706",4
"76","EMP","EMP","GO:0033013","tetrapyrrole metabolic process","4/119","60/18670",0.000580919336514219,0.0166655317570124,0.0142792835858631,"51522/645/212/7389",4
"77","EMP","EMP","GO:0006779","porphyrin-containing compound biosynthetic process","3/119","26/18670",0.000589796495937825,0.0166655317570124,0.0142792835858631,"51522/212/7389",3
"78","EMP","EMP","GO:0021591","ventricular system development","3/119","26/18670",0.000589796495937825,0.0166655317570124,0.0142792835858631,"1063/10541/113246",3
"79","EMP","EMP","GO:0006275","regulation of DNA replication","5/119","108/18670",0.000638884617146838,0.0176907289937482,0.0151576883249519,"5111/983/51053/890/27101",5
"80","EMP","EMP","GO:0007088","regulation of mitotic nuclear division","6/119","164/18670",0.000642131723911007,0.0176907289937482,0.0151576883249519,"9232/1063/11065/51203/4288/6790",6
"81","EMP","EMP","GO:0007093","mitotic cell cycle checkpoint","6/119","165/18670",0.000662944615375936,0.018038641139365,0.0154557847951193,"5111/1063/983/11130/7153/6790",6
"82","EMP","EMP","GO:0046686","response to cadmium ion","4/119","63/18670",0.000699274740519683,0.018795140586651,0.016103965141108,"5111/983/1841/4521",4
"83","EMP","EMP","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle","3/119","29/18670",0.000817430850016799,0.0214478284932979,0.0183768288838363,"5111/6241/7298",3
"84","EMP","EMP","GO:0033014","tetrapyrrole biosynthetic process","3/119","29/18670",0.000817430850016799,0.0214478284932979,0.0183768288838363,"51522/212/7389",3
"85","EMP","EMP","GO:0045787","positive regulation of cell cycle","9/119","389/18670",0.000869707726890391,0.0225510097654873,0.0193220515423079,"1163/5111/11065/896/51203/1164/983/5886/6790",9
"86","EMP","EMP","GO:0097421","liver regeneration","3/119","30/18670",0.000904053632710481,0.0231690024010919,0.0198515571246341,"5111/7298/6790",3
"87","EMP","EMP","GO:0045737","positive regulation of cyclin-dependent protein serine/threonine kinase activity","3/119","31/18670",0.000996286183290136,0.0252392499766834,0.0216253770456443,"1163/896/1164",3
"88","EMP","EMP","GO:0061515","myeloid cell development","4/119","70/18670",0.00104016746539109,0.0260514669741133,0.0223212970443974,"3050/2623/2039/116151",4
"89","EMP","EMP","GO:0042440","pigment metabolic process","4/119","71/18670",0.00109689534392842,0.0271635655957105,0.0232741602248088,"51522/645/212/7389",4
"90","EMP","EMP","GO:2000045","regulation of G1/S transition of mitotic cell cycle","6/119","184/18670",0.00116745901435673,0.0285897740849136,0.0244961575643973,"5111/896/983/81853/1032/6790",6
"91","EMP","EMP","GO:0071103","DNA conformation change","8/119","327/18670",0.00118446859664834,0.0286875690880542,0.0245799498251835,"3146/3148/51203/10541/983/10051/55723/7153",8
"92","EMP","EMP","GO:0051783","regulation of nuclear division","6/119","188/18670",0.00130356334650252,0.0312288436488213,0.0267573529018938,"9232/1063/11065/51203/4288/6790",6
"93","EMP","EMP","GO:0000819","sister chromatid segregation","6/119","189/18670",0.00133941086239839,0.0317425972121081,0.0271975448459843,"9232/1063/51203/11130/10051/7153",6
"94","EMP","EMP","GO:0030262","apoptotic nuclear changes","3/119","35/18670",0.00142401563904412,0.0330371628258237,0.0283067485478688,"3146/3148/7153",3
"95","EMP","EMP","GO:1904031","positive regulation of cyclin-dependent protein kinase activity","3/119","35/18670",0.00142401563904412,0.0330371628258237,0.0283067485478688,"1163/896/1164",3
"96","EMP","EMP","GO:0098813","nuclear chromosome segregation","7/119","262/18670",0.00145903583524866,0.0331951053567034,0.0284420761342659,"9232/1063/200942/51203/11130/10051/7153",7
"97","EMP","EMP","GO:0045930","negative regulation of mitotic cell cycle","8/119","338/18670",0.00146094610689666,0.0331951053567034,0.0284420761342659,"9232/5111/1063/983/11130/1032/7153/6790",8
"98","EMP","EMP","GO:0045740","positive regulation of DNA replication","3/119","36/18670",0.00154629525329839,0.034775864676221,0.0297964949991119,"5111/983/27101",3
"99","EMP","EMP","GO:0052548","regulation of endopeptidase activity","9/119","425/18670",0.00160764990840748,0.0355261611168972,0.0304393605137613,"3146/9232/6622/10541/27429/56925/1032/7078/2537",9
"100","EMP","EMP","GO:0071897","DNA biosynthetic process","6/119","196/18670",0.00161189478751802,0.0355261611168972,0.0304393605137613,"5111/1063/9768/7298/1032/9636",6
"101","EMP","EMP","GO:0006921","cellular component disassembly involved in execution phase of apoptosis","3/119","37/18670",0.00167496179624548,0.0365506514745052,0.031317159587956,"3146/3148/7153",3
"102","EMP","EMP","GO:0009157","deoxyribonucleoside monophosphate biosynthetic process","2/119","10/18670",0.00175328960479451,0.0375169930967679,0.0321451359325636,"1854/7298",2
"103","EMP","EMP","GO:0032070","regulation of deoxyribonuclease activity","2/119","10/18670",0.00175328960479451,0.0375169930967679,0.0321451359325636,"3146/5111",2
"104","EMP","EMP","GO:0031145","anaphase-promoting complex-dependent catabolic process","4/119","81/18670",0.00178876240159831,0.0375469746011682,0.0321708245460387,"9232/11065/983/6790",4
"105","EMP","EMP","GO:0034109","homotypic cell-cell adhesion","4/119","81/18670",0.00178876240159831,0.0375469746011682,0.0321708245460387,"5341/2623/2039/83706",4
"106","EMP","EMP","GO:0016572","histone phosphorylation","3/119","38/18670",0.0018101339254215,0.0376371242606508,0.0322480661589491,"983/890/6790",3
"107","EMP","EMP","GO:1902806","regulation of cell cycle G1/S phase transition","6/119","202/18670",0.00187738212779964,0.0384586002789658,0.0329519194290117,"5111/896/983/81853/1032/6790",6
"108","EMP","EMP","GO:1902903","regulation of supramolecular fiber organization","8/119","352/18670",0.00188454121149197,0.0384586002789658,0.0329519194290117,"6622/5341/2039/7114/7168/395/4208/961",8
"109","EMP","EMP","GO:0030049","muscle filament sliding","3/119","39/18670",0.00195192730280284,0.0391095252307041,0.0335096419256296,"4635/7168/7137",3
"110","EMP","EMP","GO:0033275","actin-myosin filament sliding","3/119","39/18670",0.00195192730280284,0.0391095252307041,0.0335096419256296,"4635/7168/7137",3
"111","EMP","EMP","GO:0031333","negative regulation of protein complex assembly","5/119","139/18670",0.00197142266410418,0.0391442842494199,0.0335394239867511,"3146/6622/2039/7114/258010",5
"112","EMP","EMP","GO:0046501","protoporphyrinogen IX metabolic process","2/119","11/18670",0.00213399068597497,0.0419938881418646,0.0359810083706682,"212/7389",2
"113","EMP","EMP","GO:0050792","regulation of viral process","6/119","208/18670",0.00217479055165164,0.0424180387242496,0.036344427104453,"5886/27350/7153/3429/9636/4599",6
"114","EMP","EMP","GO:0019985","translesion synthesis","3/119","41/18670",0.00225582571335745,0.043612630458244,0.0373679716506303,"5111/9768/9636",3
"115","EMP","EMP","GO:0097194","execution phase of apoptosis","4/119","88/18670",0.00242304887099646,0.0463490054544523,0.0397125397770978,"3146/3148/27429/7153",4
"116","EMP","EMP","GO:0052547","regulation of peptidase activity","9/119","452/18670",0.00243942133970802,0.0463490054544523,0.0397125397770978,"3146/9232/6622/10541/27429/56925/1032/7078/2537",9
"117","EMP","EMP","GO:0071824","protein-DNA complex subunit organization","7/119","288/18670",0.00249026317975085,0.0469105987023152,0.0401937214977331,"3146/3148/1063/5757/10541/55723/51053",7
"118","EMP","EMP","GO:0070493","thrombin-activated receptor signaling pathway","2/119","12/18670",0.00255013599879843,0.0475116254219286,0.0407086904226477,"6622/5341",2
"119","EMP","EMP","GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","6/119","215/18670",0.00256528286080286,0.0475116254219286,0.0407086904226477,"3146/6622/10541/27429/1032/2537",6
"120","EMP","EMP","GO:0000075","cell cycle checkpoint","6/119","216/18670",0.00262510189192468,0.0482143714150167,0.0413108139834463,"5111/1063/983/11130/7153/6790",6
"121","EMP","EMP","GO:0045639","positive regulation of myeloid cell differentiation","4/119","91/18670",0.00273688734846758,0.0498520637687813,0.0427140139465057,"3148/2623/116151/9636",4
"122","EMP-pre-MC","EMP-pre-MC","GO:0030168","platelet activation","46/469","153/18670",7.25392474873997e-37,3.166338152825e-33,2.53658294898044e-33,"1192/5341/2623/2039/83706/2815/5196/7414/9162/3674/7094/6403/3690/2316/2811/80739/9002/5023/10627/7534/51266/2534/2207/10077/8527/51206/5155/3611/84959/5028/2149/2776/340205/2778/5579/928/150/5912/5291/6714/239/3937/4627/60/10398/6850",46
"123","EMP-pre-MC","EMP-pre-MC","GO:0007599","hemostasis","63/469","341/18670",2.113716692496e-36,4.61318668137251e-33,3.69566676445879e-33,"1192/3045/3048/3046/3047/5341/2623/2039/83706/5577/2815/5196/7057/7414/9162/3674/7094/22915/6403/3690/2316/2811/80739/9002/5023/10627/7534/51266/2534/196527/4778/30845/2207/10077/8527/51206/5155/3611/3673/4097/10855/2162/84959/5028/2149/2776/340205/2778/5579/928/150/2313/5912/5291/6714/239/3937/6915/4627/60/10398/6850/7980",63
"124","EMP-pre-MC","EMP-pre-MC","GO:0007596","blood coagulation","62/469","336/18670",8.5685495748087e-36,1.24672396313467e-32,9.98762164474194e-33,"1192/3045/3048/3046/3047/5341/2623/2039/83706/5577/2815/5196/7057/7414/9162/3674/7094/22915/6403/3690/2316/2811/80739/9002/5023/10627/7534/51266/2534/196527/4778/30845/2207/10077/8527/51206/5155/3611/3673/4097/10855/2162/84959/5028/2149/2776/340205/2778/5579/928/150/5912/5291/6714/239/3937/6915/4627/60/10398/6850/7980",62
"125","EMP-pre-MC","EMP-pre-MC","GO:0050817","coagulation","62/469","342/18670",2.51728836222667e-35,2.74699092527985e-32,2.20063998403079e-32,"1192/3045/3048/3046/3047/5341/2623/2039/83706/5577/2815/5196/7057/7414/9162/3674/7094/22915/6403/3690/2316/2811/80739/9002/5023/10627/7534/51266/2534/196527/4778/30845/2207/10077/8527/51206/5155/3611/3673/4097/10855/2162/84959/5028/2149/2776/340205/2778/5579/928/150/5912/5291/6714/239/3937/6915/4627/60/10398/6850/7980",62
"126","EMP-pre-MC","EMP-pre-MC","GO:0002576","platelet degranulation","35/469","128/18670",1.07658308092374e-26,9.39857029646426e-24,7.52928209437615e-24,"7076/8407/5341/2039/7114/83706/7277/7078/5196/7057/7414/3674/7094/22915/6403/3690/2316/5874/7040/5023/87/5473/5552/2207/5175/5155/2162/23052/10257/928/94121/6813/9948/6850/967",35
"127","EMP-pre-MC","EMP-pre-MC","GO:0070527","platelet aggregation","24/469","59/18670",2.1372280580702e-23,1.55483341224607e-20,1.24559151033495e-20,"1192/5341/2623/2039/83706/7414/3674/7094/3690/2316/2811/10627/10077/3611/84959/2778/928/5912/5291/239/4627/60/10398/6850",24
"128","EMP-pre-MC","EMP-pre-MC","GO:0034109","homotypic cell-cell adhesion","25/469","81/18670",7.62124959317479e-21,4.75239349631543e-18,3.80718663887619e-18,"1192/5341/2623/2039/83706/7414/3674/7094/3690/2316/2811/10627/10077/3611/84959/2778/928/5912/5291/239/4627/60/10398/6850/6352",25
"129","EMP-pre-MC","EMP-pre-MC","GO:0007229","integrin-mediated signaling pathway","26/469","103/18670",3.59246127644367e-19,1.96013668395958e-16,1.57028373162446e-16,"7076/5341/2039/83706/961/3987/3674/7094/3690/2316/80739/2530/2533/2207/10077/3611/3673/102/7791/27040/3693/6714/4627/84695/6850/967",26
"130","EMP-pre-MC","EMP-pre-MC","GO:0007015","actin filament organization","40/469","400/18670",9.86707896988775e-14,4.78553330039556e-11,3.83373524420668e-11,"5341/2039/7114/7168/395/961/2316/87/2017/9050/93663/1729/23603/8736/120/7171/389/2934/9087/29109/7791/3693/10006/10487/7408/9475/7456/6714/10092/55845/10788/5216/8440/9948/10096/10093/28984/10095/51474/23406",40
"131","EMP-pre-MC","EMP-pre-MC","GO:0042119","neutrophil activation","44/469","498/18670",4.29782643288309e-13,1.82792392936454e-10,1.46436686401374e-10,"2495/5908/9588/961/7414/5023/3934/5473/196527/2207/6515/1729/5175/5795/201294/5476/10855/2934/64114/427/102/10396/55004/2040/10487/54918/5912/6813/79930/306/10092/823/1522/10788/51646/9342/1604/535/6850/967/1727/6352/51411/23406",44
"132","EMP-pre-MC","EMP-pre-MC","GO:0002446","neutrophil mediated immunity","44/469","499/18670",4.60645205567238e-13,1.82792392936454e-10,1.46436686401374e-10,"2495/5908/9588/961/7414/5023/3934/5473/196527/2207/6515/1729/5175/5795/201294/5476/10855/2934/64114/427/102/10396/55004/2040/10487/54918/5912/6813/79930/306/10092/823/1522/10788/51646/9342/1604/535/9948/6850/967/1727/51411/23406",44
"133","EMP-pre-MC","EMP-pre-MC","GO:0043312","neutrophil degranulation","43/469","485/18670",7.17013112299707e-13,2.60813519599018e-10,2.08940136759616e-10,"2495/5908/9588/961/7414/5023/3934/5473/196527/2207/6515/1729/5175/5795/201294/5476/10855/2934/64114/427/102/10396/55004/2040/10487/54918/5912/6813/79930/306/10092/823/1522/10788/51646/9342/1604/535/6850/967/1727/51411/23406",43
"134","EMP-pre-MC","EMP-pre-MC","GO:0002283","neutrophil activation involved in immune response","43/469","488/18670",8.83120059719367e-13,2.96524543128849e-10,2.37548569909938e-10,"2495/5908/9588/961/7414/5023/3934/5473/196527/2207/6515/1729/5175/5795/201294/5476/10855/2934/64114/427/102/10396/55004/2040/10487/54918/5912/6813/79930/306/10092/823/1522/10788/51646/9342/1604/535/6850/967/1727/51411/23406",43
"135","EMP-pre-MC","EMP-pre-MC","GO:0008154","actin polymerization or depolymerization","26/469","209/18670",1.87512029287871e-11,5.84635719886828e-09,4.6835711375512e-09,"5341/2039/7114/395/2017/9050/93663/1729/120/2934/9087/10006/10487/7408/7456/10092/55845/10788/5216/8440/9948/10096/10093/10095/51474/23406",26
